"AccountID","ServiceType","ServiceName","DataAllowance_MB","VoiceAllowance_Minutes","SMSAllowance_N_Messages","DataUsage_PCT","DataUsage_PCT_PM","DataUsage_PCT_PPM","VoiceUsage_PCT","VoiceUsage_PCT_PM","VoiceUsage_PCT_PPM","SMSUsage_PCT","SMSUsage_PCT_PM","SMSUsage_PCT_PPM","Revenue_Month","Revenue_Month_PM","Revenue_Month_PPM","Revenue_Month_PPPM","ServiceFailureRate_PCT","ServiceFailureRate_PCT_PM","ServiceFailureRate_PCT_PPM","CustomerLifetimeValue_USD","CustomerLifetimeValue_USD_PM","CustomerLifetimeValue_USD_PPM","Device_Lifetime","Device_Lifetime_PM","Device_Lifetime_PPM","ContractActivityLABEL","ContractActivity","ChurnMonth"
"2000082","Premium Service Plan","Data Premium","10240","150","300","59.2","33.91",,"138.49","84.61",,"37.74","41.22",,"70","80","70",,"1.56","0.8",,"408","1577",,"7","14",,"Churned","1","11"
"2000776","Standard Service Plan","Data Standard","3072","300","300","65.65","73.77","67.77","15.86","67.54","70.69","68.17","77.52","97.83","55","55","55","55","0.64","0.56","1.05","234","1337","1380","5","9","14","Churned","1","12"
"2001454","Standard Service Plan","Voice Standard","1024","500","300","160.63",,,"61.18",,,"56.96",,,"50","70",,,"1.1",,,"404",,,"9",,,"Churned","1","10"
"2000603","Standard Service Plan","Data Standard","3072","300","300","118.93","112.55","89.87","105.54","98.49","70.6","61.85","6.41","78.46","55","100","85","55","0.46","0.52","0.16","909","1090","969","11","13","21","Churned","1","12"
"2000919","Standard Service Plan","Voice Standard","1024","500","300","6.64","66.89",,"57.73","93.24",,"64.99","78.04",,"50","50","50",,"1.26","3.24",,"1456","1709",,"10","13",,"Churned","1","11"
"2001352","Standard Service Plan","Voice Standard","1024","500","300","215.55",,,"66.47",,,"67.1",,,"50","90",,,"1.74",,,"453",,,"16",,,"Churned","1","10"
"2000630","Standard Service Plan","Data Standard","3072","300","300","91.36","78.21","84.29","46.8","81.28","68.05","78.2","53.63","63.78","55","55","55","55","0.65","1.39","0.36","399","989","1368","17","8","14","Churned","1","12"
"2000274","Premium Service Plan","Voice Premium","300","1000","300","52.92","40.67",,"98.35","60.56",,"98.63","87.6",,"55","55","55",,"1.3","2.55",,"695","1641",,"16","10",,"Churned","1","11"
"2000996","Standard Service Plan","Voice Standard","1024","500","300","80.85","71.44","64.16","4.34","87.1","80.97","23.94","55.74","72.03","50","50","50","50","1.34","0.73","0.04","412","1104","682","14","15","8","Churned","1","12"
"2001166","Standard Service Plan","Voice Standard","1024","500","300","110.59","82.47","86.07","42.62","46.3","71.56","43.95","66.64","72.48","50","70","50","50","1.77","1.64","0.95","1468","1396","782","8","7","14","Churned","1","12"
