"AccountID","ServiceType","ServiceName","DataAllowance_MB","VoiceAllowance_Minutes","SMSAllowance_N_Messages","DataUsage_PCT","DataUsage_PCT_PM","DataUsage_PCT_PPM","VoiceUsage_PCT","VoiceUsage_PCT_PM","VoiceUsage_PCT_PPM","SMSUsage_PCT","SMSUsage_PCT_PM","SMSUsage_PCT_PPM","Revenue_Month","Revenue_Month_PM","Revenue_Month_PPM","Revenue_Month_PPPM","ServiceFailureRate_PCT","ServiceFailureRate_PCT_PM","ServiceFailureRate_PCT_PPM","CustomerLifetimeValue_USD","CustomerLifetimeValue_USD_PM","CustomerLifetimeValue_USD_PPM","Device_Lifetime","Device_Lifetime_PM","Device_Lifetime_PPM","ContractActivityLABEL","ContractActivity","ChurnMonth"
"2000037","Premium Service Plan","Data Premium","10240","150","300","101.93",,,"184.1",,,"42.42",,,"70","130",,,"1.53",,,"99",,,"17",,,"Churned","1","10"
"2000054","Premium Service Plan","Data Premium","10240","150","300","98.16",,,"83.78",,,"7.37",,,"70","70",,,"2.54",,,"344",,,"11",,,"Churned","1","10"
"2000056","Premium Service Plan","Data Premium","10240","150","300","79.91",,,"81.05",,,"63.9",,,"70","70",,,"0",,,"218",,,"16",,,"Churned","1","10"
"2000062","Premium Service Plan","Data Premium","10240","150","300","67.47",,,"129.15",,,"23.49",,,"70","80",,,"0.03",,,"495",,,"11",,,"Churned","1","10"
"2000112","Premium Service Plan","Voice Premium","300","1000","300","55.98",,,"69.87",,,"98.43",,,"55","55",,,"1.16",,,"536",,,"9",,,"Churned","1","10"
"2000132","Premium Service Plan","Voice Premium","300","1000","300","17.73",,,"102.53",,,"9.81",,,"55","85",,,"1.06",,,"1951",,,"18",,,"Churned","1","10"
"2000161","Premium Service Plan","Voice Premium","300","1000","300","86",,,"32.41",,,"76.79",,,"55","55",,,"2.46",,,"400",,,"21",,,"Churned","1","10"
"2000165","Premium Service Plan","Voice Premium","300","1000","300","9.44",,,"2.65",,,"75.99",,,"55","55",,,"0.27",,,"1896",,,"17",,,"Churned","1","10"
"2000169","Premium Service Plan","Voice Premium","300","1000","300","127.84",,,"99.72",,,"86.72",,,"55","65",,,"1.32",,,"762",,,"17",,,"Churned","1","10"
"2000192","Premium Service Plan","Voice Premium","300","1000","300","8.06",,,"98.41",,,"79.59",,,"55","55",,,"2.93",,,"732",,,"12",,,"Churned","1","10"
"2000197","Premium Service Plan","Voice Premium","300","1000","300","9.11",,,"64.12",,,"94.81",,,"55","55",,,"1.49",,,"371",,,"18",,,"Churned","1","10"
"2000202","Premium Service Plan","Voice Premium","300","1000","300","79.21",,,"4.01",,,"78.5",,,"55","55",,,"0.04",,,"879",,,"7",,,"Churned","1","10"
"2000209","Premium Service Plan","Voice Premium","300","1000","300","70.36",,,"201.67",,,"8.79",,,"55","115",,,"1.63",,,"1840",,,"13",,,"Churned","1","10"
"2000210","Premium Service Plan","Voice Premium","300","1000","300","69.98",,,"227.69",,,"77.46",,,"55","115",,,"1.1",,,"1544",,,"6",,,"Churned","1","10"
"2000772","Standard Service Plan","Data Standard","3072","300","300","80.87","93.77","54.87","58.56","92.92","86.92","86.26","75.54","84.73","55","55","55","55","1.43","1.68","1.02","483","926","414","16","15","18","Retended","0",
"2000223","Premium Service Plan","Voice Premium","300","1000","300","75.9",,,"100.4",,,"109.52",,,"55","95",,,"0",,,"1337",,,"19",,,"Churned","1","10"
"2000260","Premium Service Plan","Voice Premium","300","1000","300","91.12",,,"5.88",,,"86.73",,,"55","55",,,"0",,,"210",,,"17",,,"Churned","1","10"
"2000773","Standard Service Plan","Data Standard","3072","300","300","63.84","90.16","43.75","37.63","88.98","84.69","89.45","73.61","72.74","55","55","55","55","0.91","1.33","0.31","805","348","186","13","10","9","Retended","0",
"2000262","Premium Service Plan","Voice Premium","300","1000","300","9.41",,,"78.47",,,"93.01",,,"55","65",,,"1.95",,,"2128",,,"8",,,"Churned","1","10"
"2000264","Premium Service Plan","Voice Premium","300","1000","300","148.39",,,"104.39",,,"9.38",,,"55","95",,,"2.1",,,"1031",,,"11",,,"Churned","1","10"
"2000774","Standard Service Plan","Data Standard","3072","300","300","54.22","75.25","36.96","37.02","30.88","85.23","71.29","72.26","109","55","55","55","65","0.58","0.7","0.25","1921","948","806","13","10","14","Retended","0",
"2000279","Premium Service Plan","Voice Premium","300","1000","300","141.93",,,"151.57",,,"96.81",,,"55","95",,,"2.01",,,"214",,,"15",,,"Churned","1","10"
"2000296","Premium Service Plan","Voice Premium","300","1000","300","104.05",,,"92.04",,,"75.47",,,"65","65",,,"0",,,"695",,,"12",,,"Churned","1","10"
"2000775","Standard Service Plan","Data Standard","3072","300","300","82.78","79.65","42.36","59.15","65.25","85.19","80.96","69.2","88.01","55","55","55","55","0.3","0.57","0.96","2437","579","1197","10","12","3","Retended","0",
"2000304","Premium Service Plan","Voice Premium","300","1000","300","99.95",,,"7.08",,,"57.67",,,"55","55",,,"0",,,"355",,,"16",,,"Churned","1","10"
"2000777","Standard Service Plan","Data Standard","3072","300","300","69.85","88.62","65.53","92.78","66.28","91.64","97.14","76.7","91.33","55","55","55","55","1.29","1.08","0.31","330","1221","1311","10","17","13","Retended","0",
"2001351","Standard Service Plan","Voice Standard","1024","500","300","82.81","84.89","94","51.8","59.99","65.94","90.86","71.72","67.34","50","50","50","50","0.99","1.12","1.27","850","530","806","10","8","13","Retended","0",
"2000388","Standard Service Plan","Data Standard","3072","300","300","72.77",,,"2.94",,,"77.74",,,"55","55",,,"0.9",,,"447",,,"18",,,"Churned","1","10"
"2000778","Standard Service Plan","Data Standard","3072","300","300","60.56","90.47","67.93","59.2","65.68","71.03","89.18","64.4","92.1","55","55","55","55","1.53","0.16","0.3","1295","627","1564","13","14","10","Retended","0",
"2000426","Standard Service Plan","Data Standard","3072","300","300","95.5",,,"86.5",,,"4.5",,,"55","55",,,"1.87",,,"945",,,"8",,,"Churned","1","10"
"2000447","Standard Service Plan","Data Standard","3072","300","300","145.94",,,"159.11",,,"78.45",,,"55","100",,,"2.16",,,"1622",,,"14",,,"Churned","1","10"
"2001693","Standard Service Plan","Voice Standard","1024","500","300","74.95","67.09",,"45.78","53.65",,"54.84","71.33",,"50","50",,,"0.85","0.64",,"1488","1348",,"14","11",,"Retended","0",
"2001710","Standard Service Plan","Voice Standard","1024","500","300","85.3","89.37",,"54.12","68.09",,"66.62","78.86",,"50","50",,,"1.31","1.63",,"1452","805",,"14","13",,"Retended","0",
"2000779","Standard Service Plan","Data Standard","3072","300","300","92.53","84.28","73.12","72.91","65.91","72.19","72.68","63.31","63.37","55","55","55","55","1.15","0.45","0.68","772","1768","339","17","12","14","Retended","0",
"2000475","Standard Service Plan","Data Standard","3072","300","300","161.23",,,"69.13",,,"64.38",,,"55","85",,,"0.4",,,"2181",,,"20",,,"Churned","1","10"
"2000780","Standard Service Plan","Data Standard","3072","300","300","36.63","77.94","40.85","63.92","82.01","88.91","65.46","54.27","107.87","85","55","55","65","1.27","1.58","0.11","896","403","713","14","9","11","Retended","0",
"2001353","Standard Service Plan","Voice Standard","1024","500","300","86.6","75.47","31.92","80.61","75.64","54.78","67.22","72.13","71.17","50","50","50","50","1.19","0.63","1.6","1474","435","671","9","14","12","Retended","0",
"2000493","Standard Service Plan","Data Standard","3072","300","300","113.33",,,"186.59",,,"62",,,"55","100",,,"0",,,"1034",,,"17",,,"Churned","1","10"
"2001165","Standard Service Plan","Voice Standard","1024","500","300","68.48","95.26","88.56","54.87","63.31","68.62","39.24","48.88","76.81","50","50","50","50","0.46","1.08","0","1151","638","1154","9","12","15","Retended","0",
"2000500","Standard Service Plan","Data Standard","3072","300","300","36.41",,,"157",,,"5",,,"55","70",,,"0.52",,,"179",,,"14",,,"Churned","1","10"
"2000781","Standard Service Plan","Data Standard","3072","300","300","96.59","79.16","20.49","49.3","7.24","71.03","30.15","74.44","73.29","55","55","55","55","0.91","0.87","0.61","1736","296","339","7","9","10","Retended","0",
"2001354","Standard Service Plan","Voice Standard","1024","500","300","87.96","48.33","94.84","13.47","94.21","56.96","70.3","78.61","80.83","50","50","50","50","0.42","1.93","3.3","2037","1473","885","12","12","9","Retended","0",
"2000512","Standard Service Plan","Data Standard","3072","300","300","117.88",,,"204.57",,,"82.32",,,"55","115",,,"1.6",,,"849",,,"23",,,"Churned","1","10"
"2001167","Standard Service Plan","Voice Standard","1024","500","300","65.83","46.02","79.71","84.68","70.74","68.8","53.67","62.26","86.25","50","50","50","50","1.36","1.32","1.16","306","1550","886","10","12","12","Retended","0",
"2000782","Standard Service Plan","Data Standard","3072","300","300","74.02","90.7","74.42","70.81","63.76","90.66","70.22","67.16","89.83","55","55","55","55","0.62","1.31","0.41","1453","1953","760","10","12","12","Retended","0",
"2000551","Standard Service Plan","Data Standard","3072","300","300","156.08",,,"75.17",,,"8.5",,,"55","85",,,"2.33",,,"291",,,"10",,,"Churned","1","10"
"2001356","Standard Service Plan","Voice Standard","1024","500","300","55.95","49.48","72.51","78.73","57.69","44.18","47.34","87.45","56.89","50","50","50","50","0.91","1.53","0.48","1455","838","1003","15","18","13","Retended","0",
"2001168","Standard Service Plan","Voice Standard","1024","500","300","73.97","63.62","70.14","57.47","81.14","64","78.72","39.82","74.96","50","50","50","50","1.12","1.27","0.98","1299","648","851","11","10","8","Retended","0",
"2000560","Standard Service Plan","Data Standard","3072","300","300","120.55",,,"77.32",,,"72.33",,,"55","85",,,"0",,,"1580",,,"9",,,"Churned","1","10"
"2000783","Standard Service Plan","Data Standard","3072","300","300","52.9","77.41","72.62","36.43","77.28","90.13","31.35","61.62","117.04","55","55","55","65","1.38","0.61","0.62","1680","628","422","11","13","12","Retended","0",
"2001357","Standard Service Plan","Voice Standard","1024","500","300","92.96","64.08","86.06","40.49","56.44","53.68","64.6","65","85.85","50","50","50","50","0.15","1.04","0.36","1038","1476","1275","12","13","14","Retended","0",
"2000577","Standard Service Plan","Data Standard","3072","300","300","108.09",,,"68.02",,,"64.48",,,"55","85",,,"1.5",,,"882",,,"14",,,"Churned","1","10"
"2001169","Standard Service Plan","Voice Standard","1024","500","300","38.64","94.07","68.6","56.13","73.29","71.52","65.18","65.06","78.93","50","50","50","50","1.02","1.04","1.22","1000","302","1852","8","18","18","Retended","0",
"2000784","Standard Service Plan","Data Standard","3072","300","300","49.78","74.53","87.99","80.31","72.57","79.42","30.26","82.64","92.98","70","55","55","55","1.76","1.48","0","860","1060","796","9","7","11","Retended","0",
